ID	gene	h0_alpha	h0_sigma2	h0_theta	h1_alpha	h1_sigma2	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
9	10	67.616936	7709.8413	0.0049496894	74.055305	8111.8584	0.0036244383081793785	1.695271372795105	489.48645	485.59116	3.8952942	0.04842155801871695	0.9541141937418243	False
89	90	21.412367	2375.4978	0.0039240248	24.001516	2553.2095	0.0029060845263302326	1.598444938659668	485.3833	481.7502	3.6330872	0.05664165814751687	0.9541141937418243	False
66	67	26.221186	2987.3574	0.0018507517	30.29521	3349.2993	0.0013751474907621741	0.46375006437301636	488.61444	486.02283	2.5916138	0.10743082729915088	0.9541141937418243	False
73	74	36.280506	4037.7466	0.0038332513	48.673954	5269.437	0.00292563671246171	0.6283844709396362	486.86908	484.36865	2.5004272	0.11381541745004453	0.9541141937418243	False
4	5	77.51797	8617.988	0.0011674565	82.63677	8953.682	0.0015022357692942023	6.471965207310859e-06	486.84857	484.52267	2.3258972	0.1272368384439898	0.9541141937418243	False
65	66	29.884346	3293.6501	0.0074178344	38.02434	4082.7817	0.005771972239017487	0.8725477457046509	485.6917	483.4324	2.2593079	0.1328134088100522	0.9541141937418243	False
25	26	38.023617	4310.4097	0.0066379514	49.53624	5488.1904	0.005308002233505249	0.6917023658752441	488.69263	486.61563	2.0769958	0.14953422345310707	0.9541141937418243	False
46	47	20.358877	2271.144	0.00578527	20.95138	2284.8914	0.004534393548965454	0.7684293389320374	485.70886	483.64627	2.0625916	0.15095325192829767	0.9541141937418243	False
40	41	39.130104	4355.9375	0.002931851	48.93405	5328.0566	0.0023215690162032843	0.3303689956665039	486.9478	484.9224	2.0254211	0.15468603554023275	0.9541141937418243	False
59	60	75.21149	8350.485	0.0010961653	77.6903	8496.966	0.0008759996853768826	0.10412180423736572	487.0148	485.19925	1.8155518	0.1778436768242765	0.9541141937418243	False
7	8	13.20094	1537.819	0.0013593698	14.761866	1673.1893	0.0017125057056546211	6.798114100092789e-06	487.24414	485.51062	1.7335205	0.1879619199167205	0.9541141937418243	False
5	6	16.366768	1840.3944	0.0040809438	17.605837	1938.0087	0.0032132756896317005	0.43461352586746216	485.43784	483.77203	1.665802	0.19682176646608862	0.9541141937418243	False
93	94	56.60309	6384.7563	0.0022771289	66.933685	7421.652	0.0018350733444094658	0.17171210050582886	488.4204	486.76038	1.6600342	0.19759870904973875	0.9541141937418243	False
80	81	13.809101	1554.1952	0.0051893517	14.503165	1599.1862	0.004157649353146553	0.5826708078384399	484.3203	482.68915	1.6311646	0.20154205046495932	0.9541141937418243	False
6	7	35.09632	3876.9368	0.0009965531	37.27991	4047.0693	0.000805372023023665	0.07900143414735794	486.07983	484.47742	1.602417	0.20556102377421148	0.9541141937418243	False
39	40	14.534244	1611.2566	0.00082495424	15.503579	1682.7772	0.0010379061568528414	6.374057193170302e-06	483.25784	481.65988	1.5979614	0.20619234581757107	0.9541141937418243	False
74	75	27.295332	3097.1523	0.0027506426	28.505953	3184.6191	0.0022344854660332203	0.17780396342277527	488.32077	486.92123	1.3995361	0.2368012525501979	0.9541141937418243	False
0	1	20.677607	2402.9744	0.0043571168	21.268375	2433.7134	0.003549698507413268	0.3102979362010956	489.76163	488.37973	1.381897	0.23977828802750356	0.9541141937418243	False
77	78	26.536457	2893.963	0.009532753	28.044651	3016.589	0.011630667373538017	0.0001610489416634664	484.43872	483.1051	1.3336182	0.24816256126678649	0.9541141937418243	False
36	37	50.352562	5497.8867	0.0013328452	56.97285	6135.8164	0.0016225219005718827	2.799555477395188e-05	485.2258	483.9151	1.3106995	0.25226805285072984	0.9541141937418243	False
60	61	42.972355	4817.1797	0.0046938416	45.367455	5020.0054	0.0038957782089710236	0.20057937502861023	487.70947	486.476	1.2334595	0.2667353064539103	0.9541141937418243	False
17	18	39.70439	4375.2485	0.00073712546	43.064148	4684.0986	0.0006147352396510541	0.03187667950987816	485.9847	484.78357	1.2011414	0.2730936770127087	0.9541141937418243	False
64	65	48.696114	5350.1147	0.0009947106	55.09731	5979.2837	0.0011787695111706853	2.536231477279216e-05	485.81696	484.6527	1.1642456	0.2805867762823492	0.9541141937418243	False
12	13	18.464336	2078.47	0.0029143111	19.249786	2137.384	0.002427510218694806	0.15002813935279846	486.20685	485.0664	1.1404419	0.28555897235155436	0.9541141937418243	False
58	59	22.366549	2562.4976	0.0009342579	23.43935	2652.3726	0.0007846197113394737	0.04140114039182663	488.68573	487.6297	1.0560303	0.3041223369228302	0.9541141937418243	False
75	76	38.286087	4293.216	0.0008886333	37.310173	4139.679	0.001056069158948958	2.373524330323562e-05	487.66452	486.616	1.048523	0.305847510296714	0.9541141937418243	False
50	51	12.686421	1454.3212	0.0039713746	12.733825	1443.2567	0.0032873020973056555	0.2301240861415863	485.3252	484.27707	1.0481262	0.305939030043638	0.9541141937418243	False
69	70	36.55403	4088.1182	0.004205671	38.55674	4268.4307	0.0035772596020251513	0.1176258996129036	487.3614	486.42273	0.93865967	0.33262277928709916	0.9541141937418243	False
29	30	55.009155	6195.2397	0.0008565291	62.53595	6982.6377	0.00099495192989707	3.7896512367296964e-05	488.24457	487.40936	0.8352051	0.3607717316484399	0.9541141937418243	False
30	31	17.570621	1931.3263	0.0006881075	17.786318	1937.4132	0.0005886066355742514	0.019915416836738586	483.62967	482.81873	0.8109436	0.36784142102772477	0.9541141937418243	False
8	9	18.684523	2083.5894	0.0013365996	18.618082	2060.8064	0.0011446092976257205	0.03409988433122635	485.31543	484.5617	0.75372314	0.3853000152294995	0.9541141937418243	False
62	63	44.590355	5077.677	0.00538265	48.584362	5486.765	0.00465353624895215	0.10399791598320007	489.28162	488.52826	0.75335693	0.38541548254665237	0.9541141937418243	False
55	56	88.95167	9408.563	0.00044064494	91.52257	9617.885	0.0005071669002063572	2.4412191123701632e-05	482.2974	481.5453	0.7521057	0.38581036744627384	0.9541141937418243	False
97	98	21.699718	2438.7168	0.0058093	23.122143	2573.3389	0.005029576364904642	0.1332419365644455	486.71	485.96494	0.74505615	0.3880460105548946	0.9541141937418243	False
41	42	26.130228	2893.2268	0.008143604	28.87018	3164.6646	0.007136075757443905	0.1631452739238739	485.8651	485.12778	0.7373352	0.39051584638204606	0.9541141937418243	False
81	82	39.437546	4518.815	0.0058741723	50.97737	5793.3745	0.005165926180779934	0.09529134631156921	489.76334	489.08026	0.68307495	0.4085298825662653	0.9541141937418243	False
26	27	26.293907	2907.945	0.0031930674	33.005013	3613.634	0.003747275099158287	0.00018074811669066548	485.8292	485.15375	0.67544556	0.41115945597162806	0.9541141937418243	False
35	36	53.725864	6029.8286	0.0018888615	49.726044	5543.6416	0.002167600439861417	0.00010644893336575478	487.9471	487.29428	0.65283203	0.41910197061606524	0.9541141937418243	False
16	17	46.25134	5026.3906	0.012355449	46.650383	5037.1763	0.010856660082936287	0.1695924997329712	484.74463	484.1255	0.6191406	0.4313668144143149	0.9541141937418243	False
33	34	59.394855	6627.2944	0.0023720788	59.10149	6553.92	0.0020839874632656574	0.033983636647462845	487.38736	486.7892	0.59814453	0.43928684844454235	0.9541141937418243	False
96	97	19.58217	2139.2463	0.005608798	19.959675	2164.2375	0.004914967343211174	0.0921235904097557	483.43243	482.83643	0.5960083	0.440105105915763	0.9541141937418243	False
21	22	55.02207	6339.322	0.0016323982	58.316452	6680.3086	0.0018517076969146729	0.00012157083983765915	490.48697	489.92532	0.5616455	0.45359800126825367	0.9541141937418243	False
99	100	49.12441	5507.253	0.0020157006	49.137985	5477.485	0.0022830257657915354	0.00015269058349076658	487.80634	487.25772	0.5486145	0.45888436109175723	0.9541141937418243	False
76	77	22.568565	2463.6138	0.00046899196	24.209826	2622.2866	0.0005342421354725957	3.269899752922356e-05	484.03214	483.4909	0.54122925	0.4619237322590465	0.9541141937418243	False
37	38	15.6868725	1764.4381	0.00064229267	16.041576	1791.8539	0.0005647286889143288	0.01058043260127306	485.19455	484.66754	0.52700806	0.46786745779086925	0.9541141937418243	False
92	93	22.752823	2564.852	0.0016608833	23.450903	2626.7034	0.0014639846049249172	0.02317768707871437	487.18863	486.6665	0.52212524	0.46993651867019104	0.9541141937418243	False
56	57	17.923111	2042.4728	0.002120613	17.494043	1985.7756	0.0024120546877384186	0.0001359183806926012	487.2433	486.73178	0.5115051	0.47448802306202276	0.9541141937418243	False
83	84	44.85598	5050.5913	0.0013916435	46.821896	5244.3057	0.001565994112752378	0.000123181045637466	488.1854	487.69458	0.4908142	0.48356432913810177	0.9541141937418243	False
53	54	37.22541	4135.4185	0.0018118592	36.879917	4076.7283	0.0016101233195513487	0.02096821554005146	486.72366	486.2361	0.48754883	0.48502275823814656	0.9541141937418243	False
23	24	51.710033	5896.894	0.0017261236	53.031937	6021.832	0.0019201758550480008	0.00018903326417785138	489.4661	489.06165	0.40444946	0.5248002690827893	0.9541141937418243	False
19	20	23.280724	2277.5603	0.00014515387	23.238571	2265.3813	0.0001608420570846647	1.7088252207031474e-05	473.48273	473.09357	0.38916016	0.5327411898639318	0.9541141937418243	False
70	71	91.83459	10197.755	0.0011618545	93.85693	10374.548	0.0012983963824808598	0.00013875815784558654	486.8209	486.43365	0.38723755	0.5337550491485269	0.9541141937418243	False
78	79	76.09368	7688.5625	0.00018427547	73.937126	7441.204	0.00020351307466626167	2.3879232685430907e-05	477.732	477.35178	0.3802185	0.5374863189182915	0.9541141937418243	False
48	49	31.718554	3710.021	0.0032312914	32.764885	3814.7932	0.0029111031908541918	0.028794800862669945	491.52948	491.15973	0.36975098	0.5431400385330412	0.9541141937418243	False
44	45	27.833132	2983.7322	0.0005326685	33.209454	3537.2473	0.0004795314453076571	0.003872911212965846	482.9157	482.5645	0.3511963	0.5534367198306769	0.9541141937418243	False
11	12	16.705755	1915.8674	0.0016819387	16.990465	1939.5358	0.0015177821042016149	0.01594599150121212	487.4527	487.11157	0.3411255	0.5591802881064168	0.9541141937418243	False
27	28	25.098497	2833.742	0.0019110985	25.489857	2866.5095	0.001734340563416481	0.015328067354857922	487.60248	487.27277	0.3297119	0.5658287727648251	0.9541141937418243	False
54	55	35.99399	3929.1904	0.0005969948	33.55792	3655.4336	0.0006522024632431567	0.00010040702181868255	484.96228	484.72235	0.2399292	0.624257255491047	0.9541141937418243	False
82	83	78.73875	8671.823	0.0012220434	77.72754	8545.523	0.0011263095075264573	0.006530497223138809	486.13412	485.89734	0.23678589	0.6265372143041896	0.9541141937418243	False
57	58	58.120224	6314.4272	0.0007088355	60.451286	6551.8633	0.0007665324956178665	0.00014048878801986575	484.72324	484.49005	0.23318481	0.6291723262366979	0.9541141937418243	False
15	16	28.6116	3259.6448	0.004280507	27.422293	3117.5957	0.003924190532416105	0.02530033327639103	488.84775	488.61484	0.23291016	0.6293743371505982	0.9541141937418243	False
79	80	21.009766	2295.1663	0.0036577263	20.730928	2258.8318	0.003970718942582607	0.000641383696347475	483.76447	483.53345	0.23101807	0.6307699729905698	0.9541141937418243	False
67	68	25.377285	2768.4348	0.00069231144	26.035015	2833.0122	0.0007465137750841677	0.0001323254982708022	484.30933	484.0958	0.2135315	0.6440134244334816	0.9541141937418243	False
3	4	51.968678	5765.2583	0.0008796612	52.55147	5816.4795	0.0009494850528426468	0.0001798491139197722	486.78207	486.5688	0.21328735	0.6442029213179925	0.9541141937418243	False
43	44	27.323616	3027.7832	0.0010000257	26.847576	2969.794	0.0009252103045582771	0.004987840075045824	486.01758	485.81967	0.1979065	0.6564159966821941	0.9541141937418243	False
32	33	33.440865	3864.513	0.0016209211	31.959076	3687.0076	0.0014955956721678376	0.008422146551311016	490.44223	490.24457	0.19766235	0.6566143802773301	0.9541141937418243	False
91	92	33.076923	3693.1477	0.0013337028	32.801815	3654.5015	0.0012417936231940985	0.006058418191969395	487.07278	486.8924	0.1803894	0.6710388060309909	0.9541141937418243	False
71	72	80.93267	9281.219	0.005113061	82.165726	9433.965	0.004710332024842501	0.020764173939824104	490.0434	489.8753	0.16809082	0.6818141597269283	0.9541141937418243	False
34	35	20.634861	2315.1904	0.005029306	20.821833	2330.62	0.0053874291479587555	0.001156641636043787	486.31506	486.16226	0.15280151	0.6958723796570832	0.9541141937418243	False
31	32	72.80844	7948.4014	0.0010260332	72.42768	7894.0093	0.0009615032467991114	0.0039042511489242315	485.30527	485.15317	0.15209961	0.6965369172485056	0.9541141937418243	False
2	3	44.878593	4741.7446	0.0004179096	43.712605	4612.472	0.00044602781417779624	0.00011182748130522668	481.9848	481.841	0.14379883	0.704533292982801	0.9541141937418243	False
84	85	24.68039	2697.4148	0.00086575473	24.80733	2708.32	0.0008162625599652529	0.003241153433918953	484.43686	484.30316	0.13369751	0.7146287224767114	0.9541141937418243	False
98	99	20.713602	2267.5684	0.0009979608	21.000652	2294.7095	0.0009385813609696925	0.003606855170801282	483.9739	483.8517	0.12219238	0.7266687314268563	0.9541141937418243	False
68	69	28.119543	3153.45	0.0010680566	28.095022	3147.4739	0.0010067456169053912	0.0037266556173563004	487.26917	487.14926	0.119903564	0.7291391051922134	0.9541141937418243	False
86	87	66.87122	7497.6797	0.0016547492	67.96546	7633.1787	0.0015655159950256348	0.005089811980724335	488.05847	487.94852	0.109954834	0.7401955625213216	0.9541141937418243	False
45	46	67.79523	7606.0654	0.0030347607	68.959854	7702.402	0.003194651799276471	0.0010275902459397912	487.90768	487.8065	0.10119629	0.7503987361088288	0.9541141937418243	False
52	53	18.07237	2002.1904	0.0013161666	17.963444	1988.8077	0.0012420895509421825	0.004218446556478739	484.53342	484.43756	0.09585571	0.7568607924145712	0.9541141937418243	False
72	73	20.169142	2277.5007	0.0007712412	20.621017	2323.0793	0.0008174824179150164	0.00024366105208173394	486.8616	486.76733	0.0942688	0.7588188296351757	0.9541141937418243	False
49	50	23.233831	2605.552	0.0015272658	23.064196	2585.818	0.0016030085971578956	0.000493926287163049	486.73706	486.64447	0.09259033	0.7609095567393792	0.9541141937418243	False
13	14	78.54555	8846.4795	0.0019161012	79.11379	8907.892	0.0020465224515646696	0.0006815061788074672	488.2685	488.1778	0.09069824	0.7632913549934595	0.9541141937418243	False
24	25	29.01658	3001.9421	0.0003284503	28.732004	2970.9365	0.00031425809720531106	0.0008414640906266868	479.45016	479.37775	0.07241821	0.7878478650819286	0.9553535618055433	False
38	39	25.995625	2815.739	0.00042925717	25.896793	2802.032	0.0004104501276742667	0.0011120305862277746	483.67453	483.60382	0.07070923	0.7903069298067973	0.9553535618055433	False
51	52	26.585148	2826.172	0.00038741028	26.721008	2837.831	0.0003714713966473937	0.0009678121423348784	481.87744	481.80975	0.06768799	0.7947332973075246	0.9553535618055433	False
42	43	13.550506	1512.0657	0.0014809261	13.580541	1514.2072	0.0014187094056978822	0.0037667688447982073	483.30518	483.24994	0.055236816	0.8141892208001513	0.9553535618055433	False
94	95	21.885437	2460.1433	0.001341392	21.630838	2431.5203	0.001401292160153389	0.0005672408733516932	486.7453	486.6917	0.053588867	0.8169320609724771	0.9553535618055433	False
1	2	26.1514	3001.2336	0.0017121948	26.703194	3062.9429	0.001780401449650526	0.000767202815040946	489.37222	489.32138	0.050842285	0.8216040631527672	0.9553535618055433	False
61	62	14.648921	1623.1351	0.0053878464	14.839509	1642.427	0.005582781042903662	0.002572019351646304	483.26862	483.2329	0.035705566	0.8501248210067519	0.9771549666744275	False
95	96	18.128054	1927.8824	0.017614355	18.17262	1931.7983	0.01719418726861477	0.030237529426813126	480.58948	480.56772	0.021759033	0.8827299337052199	0.9813880588064203	False
63	64	70.88545	7685.0894	0.00044246414	70.76099	7670.1006	0.0004333062097430229	0.000680834345985204	484.59955	484.58395	0.015594482	0.9006202383715202	0.9813880588064203	False
14	15	21.062254	2423.0896	0.001678031	21.08646	2424.436	0.0017065787687897682	0.0010649145115166903	488.83682	488.8232	0.01361084	0.9071251273035749	0.9813880588064203	False
47	48	20.70538	2345.2322	0.0035810263	20.76489	2351.7742	0.0035154300276190042	0.005395192187279463	487.2952	487.28235	0.0128479	0.9097542047956927	0.9813880588064203	False
