gene,species,replicate,exprval
1,c5171,R1,0
1,c5004,R1,0
1,c5215,R1,0
1,c5183,R1,0
1,c5184,R1,0
1,c5058,R1,0
1,c4920,R1,0
1,c5214,R1,0
1,c5141,R1,0
1,c5142,R1,0
1,c5391,R1,0
1,c5392,R1,0
1,c4997,R1,0
1,c5259,R1,0
1,c5260,R1,0
1,c4989,R1,0
1,c4990,R1,0
1,c5255,R1,0
1,c5256,R1,0
1,c5246,R1,0
1,c5122,R1,0
1,c5024,R1,0
1,c5385,R1,4
1,c5333,R1,0
1,c4965,R1,0
1,c4978,R1,0
1,c5397,R1,0
1,c5106,R1,1
1,c5230,R1,0
1,c5130,R1,0
1,c5063,R1,0
1,c5408,R1,9
1,c5140,R1,0
1,c4958,R1,15
1,c5124,R1,22
1,c5043,R1,0
1,c5524,R1,0
1,c5532,R1,0
1,c5483,R1,1
1,c5484,R1,0
1,c5434,R1,0
1,c5472,R1,0
1,c5436,R1,3
1,c5515,R1,0
1,c5529,R1,0
1,c5419,R1,0
1,c5533,R1,0
1,c5534,R1,0
1,c5485,R1,0
1,c5461,R1,0
1,c5462,R1,0
1,c5542,R1,0
1,c5482,R1,0
1,c5431,R1,1
1,c5429,R1,0
1,c5430,R1,0
1,c5479,R1,0
1,c5478,R1,9
1,c5442,R1,0
1,c5494,R1,0
1,c5443,R1,0
1,c5526,R1,0
1,c5495,R1,0
1,c5496,R1,0
1,c5422,R1,0
1,c5503,R1,0
1,c5425,R1,0
1,c5528,R1,6
1,c5536,R1,0
1,c5463,R1,0
1,c5464,R1,0
1,c5438,R1,0
1,c5505,R1,0
1,c5242,R1,0
1,c4996,R1,0
1,c5164,R1,0
1,c5192,R1,0
1,c5317,R1,0
1,c5318,R1,0
1,c5012,R1,0
1,c5371,R1,0
1,c4971,R1,0
1,c5249,R1,0
1,c5250,R1,0
1,c5028,R1,0
1,c5153,R1,3
1,c5154,R1,0
1,c5008,R1,0
1,c5337,R1,0
1,c5066,R1,1
1,c4929,R1,0
1,c5162,R1,0
1,c5181,R1,0
1,c5182,R1,0
1,c5195,R1,1
1,c4909,R1,11
1,c4910,R1,0
1,c4940,R1,0
1,c5311,R1,0
1,c5041,R1,0
1,c5308,R1,0
1,c4956,R1,0
1,c5174,R1,0
1,c5078,R1,0
1,c5072,R1,0
1,c5274,R1,0
1,c5118,R1,0
1,c5233,R1,0
1,c5234,R1,0
1,c5401,R1,1
1,c5169,R1,0
1,c5053,R1,0
1,c5026,R1,0
1,c5376,R1,0
1,c5232,R1,0
1,c5316,R1,0
1,c5396,R1,0
1,c5313,R1,0
1,c5314,R1,0
1,c4911,R1,0
1,c5040,R1,0
1,c5189,R1,0
1,c5009,R1,0
1,c5321,R1,0
1,c4983,R1,0
1,c4984,R1,0
1,c5207,R1,0
1,c5208,R1,0
1,c4921,R1,0
1,c4922,R1,0
1,c5103,R1,0
1,c5104,R1,0
1,c5299,R1,0
1,c5300,R1,0
1,c5330,R1,0
1,c5343,R1,0
1,c5346,R1,0
1,c5051,R1,0
1,c4936,R1,0
1,c5285,R1,0
1,c5017,R1,5
1,c5296,R1,0
1,c5080,R1,0
1,c4969,R1,0
1,c5002,R1,0
1,c5327,R1,3
1,c5083,R1,0
1,c5084,R1,1
1,c5131,R1,0
1,c5132,R1,23
1,c5144,R1,0
1,c5357,R1,0
1,c5358,R1,2
1,c5127,R1,4
1,c5128,R1,0
1,c4985,R1,0
1,c5325,R1,0
1,c5055,R1,0
1,c5303,R1,0
1,c5383,R1,0
1,c5384,R1,0
1,c5151,R1,0
1,c4923,R1,3
1,c5264,R1,0
1,c5157,R1,0
1,c5365,R1,5
1,c5238,R1,4
1,c4917,R1,0
1,c5206,R1,0
1,c5168,R1,0
1,c5109,R1,0
1,c4944,R1,0
1,c5281,R1,0
1,c4902,R1,0
1,c5176,R1,0
1,c5251,R1,0
1,c5148,R1,0
1,c5197,R1,0
1,c4898,R1,0
1,c4906,R1,4
1,c5269,R1,4
1,c4946,R1,0
1,c5399,R1,0
1,c4961,R1,1
1,c4974,R1,2
1,c5220,R1,0
1,c5353,R1,0
1,c4991,R1,0
1,c4976,R1,0
1,c5267,R1,0
1,c4947,R1,0
1,c5406,R1,0
1,c5222,R1,2
1,c5247,R1,2
2,c5171,R1,0
2,c5004,R1,0
2,c5215,R1,0
2,c5183,R1,0
2,c5184,R1,0
2,c5058,R1,0
2,c4920,R1,1
2,c5214,R1,0
2,c5141,R1,0
2,c5142,R1,0
2,c5391,R1,0
2,c5392,R1,0
2,c4997,R1,2
2,c5259,R1,0
2,c5260,R1,0
